ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,העוצמה ביחס לסף הבריאותי [%],תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,טכנולוגיית שידור
5734,PHI (משרת את הוט ופרטנר),WE3245F,תל אביב-יפו,דבורה הנביאה,עירית תל אביב,תל אביב יפו,184797,669547,מתקן גישה אלחוטי,09/10/2016,16/01/2023,01/01/2024,יש היתר,59.14,6.96,"רמה זו צפויה במבנה מגורים רח` אח""י דקר 23 קומה 8 במרחק 11 מטר",http://documents.sviva.gov.il/B001_1_WE3245F_20161009_1609.pdf,http://documents.sviva.gov.il/B002_1_WE3245F_20230116_1110.pdf,דור 2 3 4
5735,PHI (משרת את הוט ופרטנר),WE3069E,אזור,אזורהשקמה,מ.מקומית אזור,אזור,181033,659767,תורן על הגג,28/06/2018,26/02/2023,01/01/2024,יש היתר,34.79,5.41,רמה זו צפויה בבחלון קומה 7 במבנה ברח` השקמה במרחק 85 מטר,http://documents.sviva.gov.il/B001_1_WE3069E_20180628_0807.pdf,http://documents.sviva.gov.il/B002_1_WE3069E_20230226_1040.pdf,דור 2 3 4
5736,PHI (משרת את הוט ופרטנר),WM3482D,תל אביב-יפו,פעמונית 24,עירית תל אביב,תל אביב יפו,176962,660115,מתקן גישה אלחוטי,13/02/2018,27/02/2023,01/01/2024,יש היתר,23.71,3.07,רמה זו צפויה בפעמונית 18-22 במרחק 37 מטר,http://documents.sviva.gov.il/B001_1_WM3482D_20180213_1012.pdf,http://documents.sviva.gov.il/B002_1_WM3482D_20230227_1256.pdf,דור 3 4
5737,PHI (משרת את הוט ופרטנר),WE3346D,לוד,הרצל 64,עירית לוד,לוד,190389,651631,תורן על הגג,23/10/2013,27/02/2023,01/01/2024,יש היתר,4.5,0.52,מבנה,http://documents.sviva.gov.il/B001_1_WE3346D_20131023_0842.pdf,http://documents.sviva.gov.il/B002_1_WE3346D_20230227_1242.pdf,דור 2 3 4
5738,PHI (משרת את הוט ופרטנר),WE3720E,תל אביב-יפו,"צומת חולון ע""ח 1169",עירית תל אביב,תל אביב יפו,179034,660454,תורן קרקעי,05/12/2022,05/03/2023,01/01/2024,יש היתר,7.78,1.18,בתחנת רכבת צומת חולון במרחק 37.50 מטר,http://documents.sviva.gov.il/B001_1_WE3720E_20221205_1208.pdf,http://documents.sviva.gov.il/B002_1_WE3720E_20230305_1312.pdf,דור 2 3 4 5
5739,PHI (משרת את הוט ופרטנר),TS0103C,ראשון לציון,תחנה מרכזית רח` גולדה מאיר,עירית ראשון לציון,ראשון לציון,179776,652789,תורן על הגג,17/09/2024,10/01/2024,01/01/2024,יש היתר,12.05,1.56,תחנת תדלוק אוטובוסים במרחק 165 מטר,http://documents.sviva.gov.il/B001_1_TS0103C_20240917_1141.pdf,http://documents.sviva.gov.il/B002_1_TS0103C_20240110_0845.pdf,דור 2 3 4
5740,PHI (משרת את הוט ופרטנר),JW1183A,בית שמש,רבי אליעזר 47,עירית בית שמש,בית שמש,199534,626228,מתקן גישה אלחוטי,02/01/2020,11/05/2020,02/01/2024,יש היתר,52.83,7.98,בקומה מתחת במרחק 6 מטר,http://documents.sviva.gov.il/B001_1_JW1183A_20200102_1039.pdf,http://documents.sviva.gov.il/B002_1_JW1183A_20200511_0852.pdf,דור 2 3 4
5741,PHI (משרת את הוט ופרטנר),JW1003E,נווה אילן,נווה אילן,מ.א מטה יהודה,נווה אילן,207911,635096,תורן קרקעי,16/03/2020,20/05/2020,02/01/2024,יש היתר,12.12,1.87,רמה זו צפויה בבתי קרקע ברח` שיר לשלום במרחק 97 מטר,http://documents.sviva.gov.il/B001_1_JW1003E_20200316_1739.pdf,http://documents.sviva.gov.il/B002_1_JW1003E_20200520_0942.pdf,דור 2 3 4
5742,PHI (משרת את הוט ופרטנר),SO5040A,אתר דרך,בית האלה,מ.א מטה יהודה,מטה יהודה,195192,621570,תורן קרקעי,23/05/2016,26/05/2020,02/01/2024,יש היתר,3.22,0.66,במבנה חד קומתי נטוש - קרקע במרחק 32 מטר,http://documents.sviva.gov.il/B001_1_SO5040A_20160807_1458.pdf,http://documents.sviva.gov.il/B002_1_SO5040A_20200526_1008.pdf,דור 2 3 4
5743,PHI (משרת את הוט ופרטנר),EA2057H,בית שמש,בית ג`מל על תורן סלקום,עירית בית שמש,בית שמש,198152,625462,תורן קרקעי,13/02/2023,01/06/2020,02/01/2024,יש היתר,62.15,8.86,רחוב ישראל גוסמן 48 - מבנה מגורים - קומה 6 במרחק 42 מטר,http://documents.sviva.gov.il/B001_1_EA2057H_20230213_1139.pdf,http://documents.sviva.gov.il/B002_1_EA2057H_20200601_1106.pdf,דור 2 3 4
